,M1,M2,M3,M4,M5
Sampling1,0.9358974358974359,0.9871794871794872,0.6153846153846154,0.9487179487179487,0.5384615384615384
Sampling2,0.8888888888888888,0.9934640522875817,0.7320261437908496,0.9803921568627451,0.9803921568627451
Sampling3,0.9353448275862069,1.0,0.6681034482758621,0.9913793103448276,0.9655172413793104
Sampling4,0.8125,0.75,0.625,0.5625,0.5
Sampling5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
